Year;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2000;Niña;Niña;Niña;Niña;Niña;Niña;Niña;Niña;Niña;Niña;Niña;Niña
2001;Niña;Niña;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
2002;Normal;Normal;Normal;Normal;Normal;Niño;Niño;Niño;Niño;Niño;Niño;Niño
2003;Niño;Niño;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
2004;Normal;Normal;Normal;Normal;Normal;Normal;Niño;Niño;Niño;Niño;Niño;Niño
2005;Niño;Niño;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Niña;Niña
2006;Niña;Niña;Niña;Normal;Normal;Normal;Normal;Normal;Niño;Niño;Niño;Niño
2007;Niño;Normal;Normal;Normal;Normal;Niña;Niña;Niña;Niña;Niña;Niña;Niña
2008;Niña;Niña;Niña;Niña;Niña;Niña;Normal;Normal;Normal;Normal;Niña;Niña
2009;Niña;Niña;Niña;Normal;Normal;Normal;Niño;Niño;Niño;Niño;Niño;Niño
2010;Niño;Niño;Niño;Normal;Normal;Niña;Niña;Niña;Niña;Niña;Niña;Niña
2011;Niña;Niña;Niña;Niña;Niña;Normal;Niña;Niña;Niña;Niña;Niña;Niña
2012;Niña;Niña;Niña;Niña;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
2013;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal
2014;Normal;Niña;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Niño;Niño;Niño
2015;Niño;Niño;Niño;Niño;Niño;Niño;Niño;Niño;Niño;Niño;Niño;Niño
2016;Niño;Niño;Niño;Niño;Normal;Normal;Normal;Niña;Niña;Niña;Niña;Niña
2017;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Normal;Niña;Niña;Niña
2018;Niña;Niña;Niña;Niña;Normal;Normal;Normal;Normal;Niño;Niño;Niño;Niño
2019;Niño;Niño;Niño;Niño;Niño;Niño;Normal;Normal;Normal;Normal;Niño;Niño
2020;Niño;Niño;Normal;Normal;Normal;Normal;Normal;Niña;Niña;Niña;Niña;Niña
