"","Fecha","granos","pods","Temperatura_minima","Temperatura_maxima","Irradiacion","Presion_de_vapor","windspeed","Precipitacion","Dias_con_lluvia","id","ï..SOILTYPE","PRODLEVL","it"
"1","1956-1",55.0159408,242.54792,21.7076042005792,34.8333027046174,16.5148378410377,42.7575173941441,-99,1392,13,0,1,1,1
"2","1956-10",215.7454,951.153,24.8979212073609,34.5591174904257,16.6508430237882,40.9482613382861,-99,624,2,0,1,1,1
"3","1956-11",186.864,823.823,19.1636023852043,28.4729231912643,14.3025402366184,32.4382939059287,-99,62,28,0,1,1,1
"4","1956-12",205.3469,905.31,24.0249424199574,31.9315815456212,18.1639558882453,36.2406050693244,-99,935,4,0,1,1,1
"5","1956-2",201.2011,887.025,23.7026787158102,35.5899571385235,18.5066784629598,35.5053260028362,-99,524,22,0,1,1,1
"6","1956-3",184.7691,814.587,23.2580933808349,32.8703290317208,18.7056787232868,38.5835865079425,-99,72,29,0,1,1,1
"7","1956-4",182.5034,804.597,21.2904655528255,30.1151856575161,14.5282635954209,38.6463310709223,-99,152,6,0,1,1,1
"8","1956-5",191.9853,846.399,22.8179426146671,30.6971728634089,14.3179926103912,37.3619788996875,-99,1227,18,0,1,1,1
"9","1956-6",191.9922,846.43,23.2080761478283,33.8318779636174,18.6190141709521,41.2433176529594,-99,338,30,0,1,1,1
"10","1956-7",204.7151,902.521,22.842633491382,35.9533907342702,15.654514784459,42.0513809951954,-99,981,22,0,1,1,1
"11","1956-8",190.7542,840.972,20.6000783578493,30.0414054710418,15.9866153728217,36.1587044131011,-99,117,19,0,1,1,1
"12","1956-9",205.1036,904.234,23.892529216595,32.006435777992,16.990550541319,29.8506865510717,-99,64,1,0,1,1,1
"13","1957-1",207.0433,912.786,22.6194443744607,28.1873423922807,14.3553867125884,34.6060746205039,-99,1246,1,0,1,1,1
"14","1957-10",220.4445,971.868,24.7320360443555,31.2263256683946,19.7139047095552,41.088830195833,-99,804,11,0,1,1,1
"15","1957-11",200.6976,884.811,21.3549628169276,28.9964652676135,17.6499350504018,35.9991716402583,-99,415,28,0,1,1,1
"16","1957-12",213.7399,942.311,20.6109111867845,31.3079757038504,15.8253352176398,31.5342273605056,-99,289,30,0,1,1,1
"17","1957-2",182.7136,805.527,22.4047202183865,29.6845732368529,17.2455208762549,29.3442538790405,-99,50,12,0,1,1,1
"18","1957-3",201.5001,888.347,23.9203168754466,28.5427401084453,18.6516611347906,31.5139130428433,-99,620,16,0,1,1,1
"19","1957-4",207.2001,913.479,20.5094276657328,30.8754437938333,17.5213271053508,30.2609440451488,-99,665,10,0,1,1,1
"20","1957-5",215.8948,951.808,22.0329641839489,32.8058533836156,19.0969963120297,35.1220692251809,-99,0,0,0,1,1,1
"21","1957-6",225.482,994.08,24.2052286202088,35.1152652259916,17.4149116179906,33.0328113762662,-99,155,25,0,1,1,1
