"","Anio","Mes","granos","pods","Temperatura_minima","Temperatura_maxima","Irradiacion","Presion_de_vapor","windspeed","Precipitacion","Dias_con_lluvia","id","SOILTYPE","PRODLEVL","it","periodo","pods_ajustados"
"13","1957","01",788.827,891.331,21.499880183005,28.4452997728674,15.770101732044,32.6812381617942,-99,84,12,0,1,1,1,1,877.271458137946
"14","1957","10",851.478,962.119,23.2608714969278,30.3060836377493,18.28438439327,37.6238744161364,-99,319,29,0,1,1,1,10,917.658824857423
"15","1957","11",841.166,950.47,20.8707288808624,29.1445540573781,17.0368599261271,33.5012799524904,-99,1010,16,0,1,1,1,11,903.839774919271
"16","1957","12",842.017,951.429,20.551566119478,30.3513076943626,16.3991344055421,31.0860239547474,-99,1084,19,0,1,1,1,12,902.72531832756
"17","1957","02",727.756,822.322,21.3829409043087,29.5152065911983,16.8785370636758,30.0769459787438,-99,382,4,0,1,1,1,2,802.43880521793
"18","1957","03",812.174,917.706,22.3652618815588,28.8211187556532,17.5015815027398,31.0762405859347,-99,455,13,0,1,1,1,3,893.35415916378
"19","1957","04",796.606,900.12,20.5102027636156,30.1160038937698,16.9851297811932,30.4886868313352,-99,316,14,0,1,1,1,4,872.000916275891
"20","1957","05",832.387,940.55,21.1913898888477,31.2643989658605,17.7652003251314,32.9764109419852,-99,47,11,0,1,1,1,5,909.111908663942
"21","1957","06",856.279,967.546,22.6187452374752,33.3046610460339,16.9433326574962,31.8333342618219,-99,801,29,0,1,1,1,6,933.107296420667
"22","1957","07",860.79,972.643,23.2896288905141,29.5041216734655,17.2024396960886,39.6178490354073,-99,213,26,0,1,1,1,7,935.444948685502
"23","1957","08",848.418,958.668,21.3142075915604,28.8859396407703,15.925143345031,34.9545802893247,-99,218,18,0,1,1,1,8,918.901610435861
"24","1957","09",854.476,965.51,20.2164344844035,32.5065628630646,15.7667240942116,30.5981004734011,-99,628,25,0,1,1,1,9,923.331374413837
"25","1958","01",861.376,973.307,21.3981871728592,30.4895613630639,17.7119671258736,31.2216255557428,-99,584,28,0,1,1,1,13,922.61460090683
"26","1958","10",873.679,987.213,22.833524798959,30.188546499131,16.8848249489208,31.1204580539733,-99,244,26,0,1,1,1,22,921.267903274323
"27","1958","11",858.039,969.532,21.3347828275371,29.9398355116068,16.9439042686452,34.9630917216658,-99,758,12,0,1,1,1,23,902.104805934625
"28","1958","12",857.389,968.802,20.4458669492597,28.7434157529516,18.3943397078046,31.8034736623509,-99,887,15,0,1,1,1,24,899.924592841334
"29","1958","02",787.766,890.134,22.9029373447837,28.9265455225825,16.4038171457345,29.9193688688906,-99,887,17,0,1,1,1,14,837.528011337187
"30","1958","03",894.934,1011.225,23.0715227941828,33.2123573355599,16.8786893861036,30.8281027073662,-99,325,29,0,1,1,1,15,956.772628512957
"31","1958","04",846.584,956.592,22.6955084411633,29.6563073946294,17.0924929295686,40.3756536032055,-99,387,11,0,1,1,1,16,900.353832551782
"32","1958","05",916.167,1035.216,23.1695559561035,31.1233274368746,16.4777911368943,37.3341933800051,-99,1007,30,0,1,1,1,17,977.247023854956
"33","1958","06",824.868,932.053,22.3403261412544,31.5175023362002,16.644922318309,30.9963532948122,-99,133,13,0,1,1,1,18,872.403415653791
"34","1958","07",841.496,950.841,19.7773381232373,29.6432449791938,18.3846602877523,36.026671254948,-99,805,30,0,1,1,1,19,889.556877830825
"35","1958","08",908.117,1026.122,23.1429668263414,31.0020272939735,16.917770883694,37.1266385716534,-99,111,26,0,1,1,1,20,963.245817327885
"36","1958","09",871.362,984.591,23.1881814439967,29.9628446494378,16.249072211868,31.4230285840346,-99,983,26,0,1,1,1,21,920.162085180735
"37","1959","01",929.342,1050.105,23.0425407430593,33.2710307139808,17.3779066294331,39.7067073114911,-99,64,25,0,1,1,1,25,979.807290689728
"38","1959","10",881.901,996.5,22.2397693380672,28.9337702923126,18.6115526998881,31.1236215217232,-99,471,30,0,1,1,1,34,914.519487738797
"39","1959","11",880.422,994.831,22.7325664675986,29.8453053830148,16.3173163621882,31.4146766312255,-99,424,25,0,1,1,1,35,911.653628630257
"40","1959","12",910.518,1028.837,19.6590540957281,31.9413885768897,16.558517717016,34.8408956462023,-99,981,22,0,1,1,1,36,944.479748827673
"41","1959","02",791.023,893.813,20.4823316886915,34.5972554720283,15.6556666626508,35.2277020194437,-99,609,18,0,1,1,1,26,822.12312169321
"42","1959","03",818.345,924.684,23.0765285508588,32.8442083295052,16.8353529694251,39.6991709665126,-99,261,23,0,1,1,1,27,851.628477491341
"43","1959","04",807.024,911.895,21.0222401768902,30.6275930105946,17.2629147133691,32.5030891922093,-99,339,29,0,1,1,1,28,837.498897371004
"44","1959","05",918.323,1037.653,20.3129056811257,33.8757998882433,15.3599325074673,30.8020239736744,-99,287,24,0,1,1,1,29,961.94004996003
"45","1959","06",876.133,989.981,22.5024701627824,29.8840339512825,15.62352236525,38.6258570767846,-99,399,25,0,1,1,1,30,912.973717739646
"46","1959","07",906.818,1024.656,20.963403870868,31.3409490393191,16.7096415635869,35.1444218226158,-99,259,16,0,1,1,1,31,946.375783862736
"47","1959","08",915.45,1034.407,23.2806608326738,34.5312396925724,15.9195492014481,32.1753006572593,-99,166,23,0,1,1,1,32,954.874220871721
"48","1959","09",845.708,955.603,20.2036447857858,31.8080586755164,17.7059262864292,30.0552346391424,-99,562,25,0,1,1,1,33,874.837080991804
"49","1960","01",840.316,949.509,19.8849353260805,29.6691044218833,16.0101978190764,31.6686086783792,-99,375,22,0,1,1,1,37,863.988145568336
"50","1960","10",910.5,1028.812,20.8400990481816,30.067491087556,17.3482286707137,31.1679875363978,-99,789,16,0,1,1,1,46,933.455547679983
"51","1960","11",918.081,1037.379,22.6011677009808,31.5152542903297,17.7284104738824,34.8512164150408,-99,240,22,0,1,1,1,47,940.991637153875
"52","1960","12",917.463,1036.681,22.1036549642441,31.724566341393,15.7802954045193,32.0168846170555,-99,495,28,0,1,1,1,48,939.273636655121
"53","1960","02",851.689,962.359,22.3815842380954,30.4904305198794,16.505824744802,34.9465779069473,-99,1055,12,0,1,1,1,38,875.690163270223
"54","1960","03",916.754,1035.884,21.3025727999718,32.1755657296995,16.9977270194798,32.7727019607829,-99,131,18,0,1,1,1,39,948.082189213072
"55","1960","04",878.452,992.603,21.6875869145575,28.7641347832448,18.1355481136884,36.6652412279216,-99,370,11,0,1,1,1,40,903.682649714846
"56","1960","05",876.519,990.414,19.9796521813767,31.1228555267893,16.2914755430617,34.8217835813853,-99,665,20,0,1,1,1,41,900.389006735878
"57","1960","06",902.888,1020.212,21.269318590457,30.8547325805676,18.6345271952626,34.2941462432947,-99,652,21,0,1,1,1,42,929.095754853615
"58","1960","07",894.281,1010.488,20.7885485650313,28.9174398141051,16.0138442398809,36.5106835089246,-99,496,25,0,1,1,1,43,918.293418559728
"59","1960","08",930.499,1051.407,20.3516883531165,34.4723174939408,16.9505263150994,38.4393063095471,-99,72,14,0,1,1,1,44,958.146549838541
"60","1960","09",881.564,996.116,21.0659528608273,29.2428779166188,16.895535993527,36.8824008928359,-99,87,13,0,1,1,1,45,901.801725991827
"61","1961","01",785.437,887.502,19.7234328707092,29.3006477696315,16.3950252754075,30.7138733532421,-99,889,27,0,1,1,1,49,789.085206965619
"62","1961","10",888.473,1003.925,19.8635140511296,28.5231482406849,15.5115800690185,31.1321982590343,-99,873,14,0,1,1,1,58,896.850719206198
"63","1961","11",876.095,989.936,19.9072801117408,29.7532385733346,16.1982583467317,31.4486066640007,-99,244,25,0,1,1,1,59,881.9426098093
"64","1961","12",948.543,1071.799,21.7265994266236,29.1474341651313,16.4748584117458,30.2058656903801,-99,587,10,0,1,1,1,60,962.894257025914
"65","1961","02",794.843,898.129,21.246333787124,31.03357515816,17.3329290265911,33.6895848170906,-99,93,14,0,1,1,1,50,798.713026089652
"66","1961","03",923.981,1044.046,19.9840447203366,30.6702878177053,16.3896356925048,36.7803752363997,-99,346,27,0,1,1,1,51,943.640788054036
"67","1961","04",893.045,1009.092,20.880386888586,31.1499004645145,15.7448776303842,32.2352786587188,-99,305,17,0,1,1,1,52,907.707201813661
"68","1961","05",935.064,1056.567,22.4989621299416,30.7405827422241,16.4493917468411,38.8825278132309,-99,522,11,0,1,1,1,53,954.211990251304
"69","1961","06",890.965,1006.736,20.1420558552518,31.1156003421655,16.2056976300884,30.3003508747605,-99,864,5,0,1,1,1,54,903.419889262001
"70","1961","07",920.276,1039.862,19.9997151711112,29.2593522259934,17.1579648752671,32.0648543815194,-99,92,24,0,1,1,1,55,935.593646913374
"71","1961","08",936.114,1057.754,21.7656169241422,29.9505285847328,15.9883536937918,37.8841344211744,-99,111,26,0,1,1,1,56,952.542022674373
"72","1961","09",878.829,993.026,20.5620586398253,30.1719569005381,17.6720197545253,30.9128293661123,-99,1070,26,0,1,1,1,57,886.878786705731
"73","1962","01",951.748,1075.421,20.0828295855398,33.8389771648255,16.920544054717,38.8052826503544,-99,93,6,0,1,1,1,61,965.612467728493
"74","1962","10",982.583,1110.265,20.9144956966514,34.1509792855091,17.144273975583,33.3153896677225,-99,901,25,0,1,1,1,70,992.634433326366
"75","1962","11",906.216,1023.97,23.3171509739482,29.2133658108703,18.0723589372369,39.6499023456383,-99,1095,21,0,1,1,1,71,905.502194528087
"76","1962","12",881.849,996.444,21.7049796204416,29.391881016836,16.7812639473169,33.3827594713957,-99,81,20,0,1,1,1,72,877.144831307582
"77","1962","02",811.208,916.617,23.0973258372479,29.4433459034712,16.6377608818729,32.3360150103468,-99,491,22,0,1,1,1,62,805.912056673185
"78","1962","03",941.857,1064.243,19.9800957069196,31.3506496751403,16.5371498642595,34.5297735357168,-99,136,10,0,1,1,1,63,952.648846056506
"79","1962","04",885.118,1000.133,21.0439237688654,28.8473981026884,16.7238290530048,34.5341775050939,-99,837,15,0,1,1,1,64,887.656665103565
"80","1962","05",974.843,1101.516,21.0735205601642,31.5695857318645,15.9312931542625,41.5311745412671,-99,933,24,0,1,1,1,65,988.164349685124
"81","1962","06",890.897,1006.663,20.6024649684253,30.1504040881097,18.1365032314896,38.7656035728963,-99,371,13,0,1,1,1,66,892.442741961083
"82","1962","07",955.277,1079.413,21.8193310596514,32.3232921693942,16.8334086275518,30.8002620698711,-99,221,27,0,1,1,1,67,964.330690048176
"83","1962","08",967.839,1093.608,23.8598607581287,28.4114272014645,16.6819354631556,36.8097886702012,-99,145,17,0,1,1,1,68,977.670047709913
"84","1962","09",937.298,1059.094,21.3161747082724,30.5853511341093,16.9711332689317,33.50831256808,-99,1243,12,0,1,1,1,69,942.306674066963
"85","1963","01",901.792,1018.974,20.7973542716246,30.5905110199087,17.8928842849431,32.420813569257,-99,112,29,0,1,1,1,73,898.849221673158
"86","1963","10",920.303,1039.89,21.2462897825509,29.1045983264555,16.3010923732193,34.231443705821,-99,440,17,0,1,1,1,82,912.575433573331
"87","1963","11",921.418,1041.146,20.4678563728271,31.6715435928665,16.4336492898843,38.4939898368996,-99,701,21,0,1,1,1,83,913.057477712554
"88","1963","12",944.968,1067.759,22.8061018622414,29.7087456374428,16.4033072523349,36.3640438215644,-99,1103,26,0,1,1,1,84,938.90117036147
"89","1963","02",816.404,922.492,20.4275776330805,33.0905500857526,17.0250530511789,34.6472877474467,-99,540,10,0,1,1,1,74,801.547247797006
"90","1963","03",984.931,1112.917,23.6013884298666,31.7108432299226,15.8048780881766,35.6937098115752,-99,569,12,0,1,1,1,75,991.157795818901
"91","1963","04",932.819,1054.032,22.3748618051923,31.8740193322324,17.310212286722,33.8448450019881,-99,570,24,0,1,1,1,76,931.46375566165
"92","1963","05",941.546,1063.896,21.1344829097036,30.751557342263,17.8462538710175,30.7411411477523,-99,787,11,0,1,1,1,77,940.524020857424
"93","1963","06",912.931,1031.56,20.8847533403649,30.3274067389079,15.7558595034022,34.5996787709099,-99,765,9,0,1,1,1,78,907.389488384209
"94","1963","07",988.509,1116.958,20.4197032351756,32.0371946006394,15.7889971917818,31.1414459117645,-99,451,17,0,1,1,1,79,991.994058511673
"95","1963","08",927.832,1048.395,21.7729812759791,29.4687778805153,16.3457627696566,35.549010095347,-99,384,9,0,1,1,1,80,922.642634655769
"96","1963","09",945.954,1068.877,23.0365624277881,29.6967252920553,15.7645185396188,31.4529329864107,-99,873,6,0,1,1,1,81,942.34112324151
"97","1964","01",924.535,1044.675,21.5654243777106,30.4142844701933,17.5858052101238,35.4135567552091,-99,1143,29,0,1,1,1,85,915.052428753619
"98","1964","10",988.122,1116.522,20.4696066914275,30.2207966018871,17.1036330254766,31.5240464792629,-99,220,29,0,1,1,1,94,980.209684221634
"99","1964","11",931.512,1052.559,20.7740150353819,32.8506855970054,16.3371451957627,32.7543931728972,-99,934,18,0,1,1,1,95,915.523536888323
"100","1964","12",972.017,1098.323,20.9841115736369,30.2898562573896,15.680796727289,30.0053159633904,-99,1166,23,0,1,1,1,96,960.568185682668
"101","1964","02",844.029,953.706,21.9577202026769,30.4555969936624,17.0205491158069,38.3283865687723,-99,346,26,0,1,1,1,86,823.323172549856
"102","1964","03",930.92,1051.888,22.0697114488115,29.5129926919478,15.8576047297092,31.3303525283453,-99,218,20,0,1,1,1,87,920.749323739848
"103","1964","04",920.494,1040.108,21.8275239413883,30.4025587137331,17.1222107650436,33.3246826552719,-99,800,15,0,1,1,1,88,908.217806548645
"104","1964","05",933.853,1055.204,20.6512056419737,28.5661284167691,15.99723397012,33.7804840214663,-99,954,27,0,1,1,1,89,922.566547348018
"105","1964","06",939.795,1061.917,20.5944444149808,31.9284770319413,17.5170405518106,36.0485276708398,-99,52,25,0,1,1,1,90,928.536474572269
"106","1964","07",943.373,1065.96,19.6147163666756,29.5432126294321,17.4858074735587,38.8574280713048,-99,631,18,0,1,1,1,91,931.840518638237
"107","1964","08",973.122,1099.575,22.7132849660617,30.5156332628299,16.7612901485133,34.5139548356303,-99,338,16,0,1,1,1,92,964.720611869249
"108","1964","09",904.368,1021.882,21.2273587422248,28.4449561651911,15.8380012239526,37.701485052682,-99,256,24,0,1,1,1,93,886.296688422786
"109","1965","01",892.245,1008.185,20.30045744162,29.2587979427724,18.26920122359,31.0023749491333,-99,795,30,0,1,1,1,97,869.714571442226
"110","1965","10",1001.685,1131.847,20.5262639284025,30.513861462403,17.9351322948074,33.1200132630281,-99,202,29,0,1,1,1,106,987.095157036564
"111","1965","11",956.29,1080.555,19.9507035796232,31.8833115965334,16.057708080957,38.0534330130764,-99,475,23,0,1,1,1,107,935.12196813075
"112","1965","12",935.272,1056.803,19.8547534496645,30.8682097933942,15.781905495779,35.2399726517282,-99,288,25,0,1,1,1,108,910.691954982681
"113","1965","02",881.295,995.815,21.596188458028,30.5045395682298,17.1614046625222,33.339936466815,-99,114,13,0,1,1,1,98,856.632636525512
"114","1965","03",969.46,1095.434,21.3005854482105,31.1598961663133,17.1548938212328,36.817034895073,-99,303,6,0,1,1,1,99,955.543324757812
"115","1965","04",979.018,1106.232,20.3867484765376,33.6663147358589,17.4435456683554,34.6374445566608,-99,142,18,0,1,1,1,100,965.636581379456
"116","1965","05",965.41,1090.858,21.716368617143,31.3209381639047,16.0632502014985,36.036309143497,-99,558,10,0,1,1,1,101,949.561352996411
"117","1965","06",953.454,1077.346,21.6884560707863,29.1728482475764,16.8484160830743,35.0603688254335,-99,88,17,0,1,1,1,102,935.351587533073
"118","1965","07",978.207,1105.32,20.9800281993555,31.0683355313816,16.5991635527186,37.4290165215294,-99,316,19,0,1,1,1,103,962.631234187135
"119","1965","08",969.72,1095.733,21.0867115563616,29.0027053064523,16.6535596437733,30.9090326607832,-99,478,29,0,1,1,1,104,952.35324338642
"120","1965","09",879.716,994.026,19.9261929855023,28.7402749754153,17.2200424922759,36.8668373174783,-99,277,27,0,1,1,1,105,849.95856674758
"121","1966","01",950.843,1074.397,21.1941018274289,28.9351405142263,16.3961368562806,33.6191673324443,-99,866,17,0,1,1,1,109,927.611073585293
"122","1966","10",957.397,1081.801,20.4160293502466,28.3835292149584,18.0576945553858,36.9579187654688,-99,164,17,0,1,1,1,118,929.075282945662
"123","1966","11",935.562,1057.135,20.2841522157066,28.4564699831843,16.3238283019574,35.4161163781423,-99,261,8,0,1,1,1,119,903.763505363179
"124","1966","12",955.928,1080.144,20.4261515833108,28.7555317172126,17.5069603426154,35.908294971013,-99,410,29,0,1,1,1,120,926.129435479292
"125","1966","02",862.542,974.62,20.5288976969312,31.7591703308444,16.636713163126,34.1330421915898,-99,828,20,0,1,1,1,110,827.162280938587
"126","1966","03",969.658,1095.657,20.9637531910129,29.1818650858391,16.4411796606704,32.5990546809369,-99,410,7,0,1,1,1,111,947.530535017656
"127","1966","04",924.423,1044.544,21.9450318349001,29.2734366695228,15.7312916117795,30.7248531700046,-99,262,28,0,1,1,1,112,895.751794742008
"128","1966","05",989.907,1118.538,21.6696500215446,31.0733915424471,16.3426096114006,30.8395519655393,-99,223,24,0,1,1,1,113,969.083019946115
"129","1966","06",927.245,1047.732,20.6725196646611,28.4970531010113,18.2381425283554,34.2828094387169,-99,808,5,0,1,1,1,114,897.617171351135
"130","1966","07",1015.216,1147.136,20.4452063858369,33.829459785435,16.7205145780896,30.5735194262768,-99,963,26,0,1,1,1,115,996.36421053775
"131","1966","08",1004.918,1135.499,22.8240230673902,30.6512389139608,17.9386412144401,34.9304125357368,-99,60,5,0,1,1,1,116,984.07309992006
"132","1966","09",953.23,1077.097,21.460971271997,30.1334207587456,17.4755262956261,40.616170961605,-99,201,16,0,1,1,1,117,925.019802720491
"133","1967","01",975.356,1102.098,21.8999502508105,29.468044324809,16.4927909459312,30.0053115024804,-99,260,29,0,1,1,1,121,947.443039517401
"134","1967","10",1061.907,1199.897,23.7483037560326,32.6326993348149,16.3288849017574,36.3743374446886,-99,471,26,0,1,1,1,130,1039.59355880733
