"","Fecha","granos","pods","Temperatura_minima","Temperatura_maxima","Irradiacion","Presion_de_vapor","windspeed","Precipitacion","Dias_con_lluvia","id","ï..SOILTYPE","PRODLEVL","it"
"1","1956-1",42.9786484,189.4798,21.3,30.4,17,34,-99,500,20,0,1,1,1
"2","1956-10",203.83,898.621,21.3,30.4,17,34,-99,500,20,0,1,1,1
"3","1956-11",199.5394,879.706,21.3,30.4,17,34,-99,500,20,0,1,1,1
"4","1956-12",207.8852,916.499,21.3,30.4,17,34,-99,500,20,0,1,1,1
"5","1956-2",182.5298,804.712,21.3,30.4,17,34,-99,500,20,0,1,1,1
"6","1956-3",173.0248,762.81,21.3,30.4,17,34,-99,500,20,0,1,1,1
"7","1956-4",181.4872,800.118,21.3,30.4,17,34,-99,500,20,0,1,1,1
"8","1956-5",186.4852,822.155,21.3,30.4,17,34,-99,500,20,0,1,1,1
"9","1956-6",185.5415,817.991,21.3,30.4,17,34,-99,500,20,0,1,1,1
"10","1956-7",195.0042,859.71,21.3,30.4,17,34,-99,500,20,0,1,1,1
"11","1956-8",198.5084,875.156,21.3,30.4,17,34,-99,500,20,0,1,1,1
"12","1956-9",194.7944,858.785,21.3,30.4,17,34,-99,500,20,0,1,1,1
"13","1957-1",209.3234,922.837,21.3,30.4,17,34,-99,500,20,0,1,1,1
"14","1957-10",221.4887,976.471,21.3,30.4,17,34,-99,500,20,0,1,1,1
"15","1957-11",214.6886,946.492,21.3,30.4,17,34,-99,500,20,0,1,1,1
"16","1957-12",221.566,976.812,21.3,30.4,17,34,-99,500,20,0,1,1,1
"17","1957-2",190.2542,838.767,21.3,30.4,17,34,-99,500,20,0,1,1,1
"18","1957-3",212.2563,935.768,21.3,30.4,17,34,-99,500,20,0,1,1,1
"19","1957-4",206.8075,911.745,21.3,30.4,17,34,-99,500,20,0,1,1,1
"20","1957-5",215.1185,948.387,21.3,30.4,17,34,-99,500,20,0,1,1,1
"21","1957-6",209.5214,923.713,21.3,30.4,17,34,-99,500,20,0,1,1,1
"22","1957-7",217.7174,959.845,21.3,30.4,17,34,-99,500,20,0,1,1,1
"23","1957-8",218.9545,965.302,21.3,30.4,17,34,-99,500,20,0,1,1,1
"24","1957-9",213.1745,939.818,21.3,30.4,17,34,-99,500,20,0,1,1,1
"25","1958-1",218.5747,963.625,21.3,30.4,17,34,-99,500,20,0,1,1,1
"26","1958-10",227.4921,1002.939,21.3,30.4,17,34,-99,500,20,0,1,1,1
"27","1958-11",220.7449,973.193,21.3,30.4,17,34,-99,500,20,0,1,1,1
"28","1958-12",226.8858,1000.267,21.3,30.4,17,34,-99,500,20,0,1,1,1
"29","1958-2",198.3124,874.295,21.3,30.4,17,34,-99,500,20,0,1,1,1
"30","1958-3",222.8622,982.525,21.3,30.4,17,34,-99,500,20,0,1,1,1
"31","1958-4",216.0364,952.433,21.3,30.4,17,34,-99,500,20,0,1,1,1
"32","1958-5",224.362,989.14,21.3,30.4,17,34,-99,500,20,0,1,1,1
"33","1958-6",217.3787,958.354,21.3,30.4,17,34,-99,500,20,0,1,1,1
"34","1958-7",225.1438,992.588,21.3,30.4,17,34,-99,500,20,0,1,1,1
"35","1958-8",225.873,995.801,21.3,30.4,17,34,-99,500,20,0,1,1,1
"36","1958-9",219.3542,967.061,21.3,30.4,17,34,-99,500,20,0,1,1,1
"37","1959-1",217.3705,958.315,21.3,30.4,17,34,-99,500,20,0,1,1,1
"38","1959-10",232.5537,1025.254,21.3,30.4,17,34,-99,500,20,0,1,1,1
"39","1959-11",225.381,993.635,21.3,30.4,17,34,-99,500,20,0,1,1,1
"40","1959-12",231.9467,1022.579,21.3,30.4,17,34,-99,500,20,0,1,1,1
"41","1959-2",196.9826,868.431,21.3,30.4,17,34,-99,500,20,0,1,1,1
"42","1959-3",225.9773,996.258,21.3,30.4,17,34,-99,500,20,0,1,1,1
"43","1959-4",221.9807,978.64,21.3,30.4,17,34,-99,500,20,0,1,1,1
"44","1959-5",229.6954,1012.65,21.3,30.4,17,34,-99,500,20,0,1,1,1
"45","1959-6",223.1521,983.806,21.3,30.4,17,34,-99,500,20,0,1,1,1
"46","1959-7",231.0505,1018.626,21.3,30.4,17,34,-99,500,20,0,1,1,1
"47","1959-8",231.4605,1020.433,21.3,30.4,17,34,-99,500,20,0,1,1,1
"48","1959-9",224.5665,990.039,21.3,30.4,17,34,-99,500,20,0,1,1,1
"49","1960-1",227.4718,1002.851,21.3,30.4,17,34,-99,500,20,0,1,1,1
"50","1960-10",236.9462,1044.619,21.3,30.4,17,34,-99,500,20,0,1,1,1
"51","1960-11",229.3086,1010.944,21.3,30.4,17,34,-99,500,20,0,1,1,1
"52","1960-12",233.115,1027.728,21.3,30.4,17,34,-99,500,20,0,1,1,1
"53","1960-2",212.4994,936.837,21.3,30.4,17,34,-99,500,20,0,1,1,1
"54","1960-3",231.3187,1019.808,21.3,30.4,17,34,-99,500,20,0,1,1,1
"55","1960-4",226.3147,997.746,21.3,30.4,17,34,-99,500,20,0,1,1,1
"56","1960-5",234.2866,1032.895,21.3,30.4,17,34,-99,500,20,0,1,1,1
"57","1960-6",227.0352,1000.928,21.3,30.4,17,34,-99,500,20,0,1,1,1
"58","1960-7",235.1525,1036.711,21.3,30.4,17,34,-99,500,20,0,1,1,1
"59","1960-8",235.7842,1039.496,21.3,30.4,17,34,-99,500,20,0,1,1,1
"60","1960-9",228.8441,1008.901,21.3,30.4,17,34,-99,500,20,0,1,1,1
"61","1961-1",227.4187,1002.618,21.3,30.4,17,34,-99,500,20,0,1,1,1
"62","1961-10",240.7301,1061.3,21.3,30.4,17,34,-99,500,20,0,1,1,1
"63","1961-11",232.884,1026.711,21.3,30.4,17,34,-99,500,20,0,1,1,1
"64","1961-12",236.3484,1041.984,21.3,30.4,17,34,-99,500,20,0,1,1,1
"65","1961-2",205.887,907.692,21.3,30.4,17,34,-99,500,20,0,1,1,1
"66","1961-3",235.5504,1038.463,21.3,30.4,17,34,-99,500,20,0,1,1,1
"67","1961-4",230.3041,1015.335,21.3,30.4,17,34,-99,500,20,0,1,1,1
"68","1961-5",238.2294,1050.277,21.3,30.4,17,34,-99,500,20,0,1,1,1
"69","1961-6",231.07,1018.712,21.3,30.4,17,34,-99,500,20,0,1,1,1
"70","1961-7",239.0831,1054.038,21.3,30.4,17,34,-99,500,20,0,1,1,1
"71","1961-8",239.6096,1056.363,21.3,30.4,17,34,-99,500,20,0,1,1,1
"72","1961-9",232.4488,1024.792,21.3,30.4,17,34,-99,500,20,0,1,1,1
"73","1962-1",229.9721,1013.872,21.3,30.4,17,34,-99,500,20,0,1,1,1
"74","1962-10",244.1112,1076.208,21.3,30.4,17,34,-99,500,20,0,1,1,1
"75","1962-11",236.2498,1041.552,21.3,30.4,17,34,-99,500,20,0,1,1,1
"76","1962-12",240.5279,1060.409,21.3,30.4,17,34,-99,500,20,0,1,1,1
"77","1962-2",206.5336,910.539,21.3,30.4,17,34,-99,500,20,0,1,1,1
"78","1962-3",236.2536,1041.565,21.3,30.4,17,34,-99,500,20,0,1,1,1
"79","1962-4",234.1652,1032.357,21.3,30.4,17,34,-99,500,20,0,1,1,1
"80","1962-5",241.7803,1065.931,21.3,30.4,17,34,-99,500,20,0,1,1,1
"81","1962-6",234.7522,1034.947,21.3,30.4,17,34,-99,500,20,0,1,1,1
"82","1962-7",242.6967,1069.971,21.3,30.4,17,34,-99,500,20,0,1,1,1
"83","1962-8",243.1863,1072.131,21.3,30.4,17,34,-99,500,20,0,1,1,1
"84","1962-9",235.8318,1039.707,21.3,30.4,17,34,-99,500,20,0,1,1,1
"85","1963-1",233.7919,1030.715,21.3,30.4,17,34,-99,500,20,0,1,1,1
"86","1963-10",247.1264,1089.498,21.3,30.4,17,34,-99,500,20,0,1,1,1
"87","1963-11",239.0161,1053.747,21.3,30.4,17,34,-99,500,20,0,1,1,1
"88","1963-12",242.6394,1069.717,21.3,30.4,17,34,-99,500,20,0,1,1,1
"89","1963-2",209.2508,922.518,21.3,30.4,17,34,-99,500,20,0,1,1,1
"90","1963-3",239.0919,1054.077,21.3,30.4,17,34,-99,500,20,0,1,1,1
"91","1963-4",237.1569,1045.547,21.3,30.4,17,34,-99,500,20,0,1,1,1
"92","1963-5",244.8716,1079.558,21.3,30.4,17,34,-99,500,20,0,1,1,1
"93","1963-6",237.5906,1047.462,21.3,30.4,17,34,-99,500,20,0,1,1,1
"94","1963-7",245.7818,1083.573,21.3,30.4,17,34,-99,500,20,0,1,1,1
"95","1963-8",246.2348,1085.57,21.3,30.4,17,34,-99,500,20,0,1,1,1
"96","1963-9",238.7455,1052.55,21.3,30.4,17,34,-99,500,20,0,1,1,1
"97","1964-1",235.1102,1036.522,21.3,30.4,17,34,-99,500,20,0,1,1,1
"98","1964-10",249.8513,1101.513,21.3,30.4,17,34,-99,500,20,0,1,1,1
"99","1964-11",241.5072,1064.728,21.3,30.4,17,34,-99,500,20,0,1,1,1
"100","1964-12",244.5185,1078.005,21.3,30.4,17,34,-99,500,20,0,1,1,1
"101","1964-2",219.458,967.519,21.3,30.4,17,34,-99,500,20,0,1,1,1
"102","1964-3",242.257,1068.035,21.3,30.4,17,34,-99,500,20,0,1,1,1
"103","1964-4",240.0289,1058.21,21.3,30.4,17,34,-99,500,20,0,1,1,1
"104","1964-5",247.7508,1092.252,21.3,30.4,17,34,-99,500,20,0,1,1,1
"105","1964-6",240.2455,1059.165,21.3,30.4,17,34,-99,500,20,0,1,1,1
"106","1964-7",248.4865,1095.495,21.3,30.4,17,34,-99,500,20,0,1,1,1
"107","1964-8",248.9116,1097.369,21.3,30.4,17,34,-99,500,20,0,1,1,1
"108","1964-9",241.4045,1064.274,21.3,30.4,17,34,-99,500,20,0,1,1,1
"109","1965-1",236.086,1040.825,21.3,30.4,17,34,-99,500,20,0,1,1,1
"110","1965-10",252.2543,1112.109,21.3,30.4,17,34,-99,500,20,0,1,1,1
"111","1965-11",243.7529,1074.625,21.3,30.4,17,34,-99,500,20,0,1,1,1
"112","1965-12",246.9222,1088.602,21.3,30.4,17,34,-99,500,20,0,1,1,1
