"","Fecha","granos","pods","Temperatura_minima","Temperatura_maxima","Irradiacion","Presion_de_vapor","windspeed","Precipitacion","Dias_con_lluvia","id","ï..SOILTYPE","PRODLEVL","it"
"1","1956-1",184.79993,208.81473,21.0333907007642,32.968396439847,16.6195657217451,40.5279806104709,-99,366,24,0,1,1,1
"2","1956-10",828.18,935.793,23.6012252696229,32.6786531534289,16.6655472629565,37.4609277370767,-99,97,4,0,1,1,1
"3","1956-11",758.127,856.646,19.7410503072008,28.7605000314916,15.7316829718962,31.5305575526118,-99,1041,20,0,1,1,1
"4","1956-12",809.977,915.226,22.4539389757082,30.7105671347362,17.2593203928746,33.6514545440715,-99,151,29,0,1,1,1
"5","1956-2",756.298,854.575,22.1936339648145,34.0282539896215,17.4255443837651,33.2019620405411,-99,755,23,0,1,1,1
"6","1956-3",691.102,780.905,21.8830665153672,31.3080904833137,17.5309506550359,35.277567809344,-99,1054,25,0,1,1,1
"7","1956-4",707.325,799.237,20.8418434984358,29.7253208094372,15.8789872329926,35.3264524157979,-99,197,25,0,1,1,1
"8","1956-5",724.326,818.448,21.6127724024005,30.0219245745738,15.7432417398292,34.3870269592242,-99,510,23,0,1,1,1
"9","1956-6",754.442,852.476,21.8507504090735,32.0229491150703,17.4841161583183,37.8100311575707,-99,1242,22,0,1,1,1
"10","1956-7",785.879,888.001,21.6271681285153,35.0511492512572,16.3451640169413,38.9567229027334,-99,637,15,0,1,1,1
"11","1956-8",773.846,874.402,20.547128160108,29.6887875072108,16.4489761824708,33.6002151536904,-99,544,8,0,1,1,1
"12","1956-9",778.892,880.106,22.342441001205,30.7554918720657,16.7846532213886,30.3026440206276,-99,70,28,0,1,1,1
"13","1957-1",788.827,891.331,21.499880183005,28.4452997728674,15.770101732044,32.6812381617942,-99,84,12,0,1,1,1
"14","1957-10",851.478,962.119,23.2608714969278,30.3060836377493,18.28438439327,37.6238744161364,-99,319,29,0,1,1,1
"15","1957-11",841.166,950.47,20.8707288808624,29.1445540573781,17.0368599261271,33.5012799524904,-99,1010,16,0,1,1,1
