Municipio,Conf,factor_densidad,Año,factor_pods
Villavicencio,1,0.7,2,0.933860608
Villavicencio,1,0.7,3,0.941196908
Villavicencio,1,0.7,4,0.957893796
Villavicencio,1,0.7,5,0.963520763
Villavicencio,1,0.8,2,0.958354904
Villavicencio,1,0.8,3,0.961000608
Villavicencio,1,0.8,4,0.980153764
Villavicencio,1,0.8,5,0.975591099
Villavicencio,1,0.9,2,0.981018119
Villavicencio,1,0.9,3,0.98071745
Villavicencio,1,0.9,4,0.985964599
Villavicencio,1,0.9,5,0.987870058
Villavicencio,1,1,2,1
Villavicencio,1,1,3,1
Villavicencio,1,1,4,1
Villavicencio,1,1,5,1
Villavicencio,1,1.1,2,1.017831464
Villavicencio,1,1.1,3,1.016416225
Villavicencio,1,1.1,4,1.015286966
Villavicencio,1,1.1,5,1.012219352
Villavicencio,1,1.2,2,1.031924072
Villavicencio,1,1.2,3,1.030660992
Villavicencio,1,1.2,4,1.029679957
Villavicencio,1,1.2,5,1.024041327
Villavicencio,1,1.3,2,1.041223277
Villavicencio,1,1.3,3,1.041605142
Villavicencio,1,1.3,4,1.04505632
Villavicencio,1,1.3,5,1.035167892
Villavicencio,2,0.7,2,0.940549102
Villavicencio,2,0.7,3,0.951864468
Villavicencio,2,0.7,4,0.954111122
Villavicencio,2,0.7,5,0.96776718
Villavicencio,2,0.8,2,0.962523759
Villavicencio,2,0.8,3,0.97149516
Villavicencio,2,0.8,4,0.968619247
Villavicencio,2,0.8,5,0.979086094
Villavicencio,2,0.9,2,0.983463569
Villavicencio,2,0.9,3,0.989064181
Villavicencio,2,0.9,4,0.984236645
Villavicencio,2,0.9,5,0.989463656
Villavicencio,2,1,2,1
Villavicencio,2,1,3,1
Villavicencio,2,1,4,1
Villavicencio,2,1,5,1
Villavicencio,2,1.1,2,1.015258712
Villavicencio,2,1.1,3,1.012818214
Villavicencio,2,1.1,4,1.014984918
Villavicencio,2,1.1,5,1.011647821
Villavicencio,2,1.2,2,1.027381204
Villavicencio,2,1.2,3,1.02644317
Villavicencio,2,1.2,4,1.029969836
Villavicencio,2,1.2,5,1.022547096
Villavicencio,2,1.3,2,1.020728617
Villavicencio,2,1.3,3,1.037916816
Villavicencio,2,1.3,4,1.042230223
Villavicencio,2,1.3,5,1.031223418
Villavicencio,3,0.7,2,0.942317071
Villavicencio,3,0.7,3,0.951554591
Villavicencio,3,0.7,4,0.956736749
Villavicencio,3,0.7,5,0.96647567
Villavicencio,3,0.8,2,0.963074868
Villavicencio,3,0.8,3,0.971438901
Villavicencio,3,0.8,4,0.970318823
Villavicencio,3,0.8,5,0.977213672
Villavicencio,3,0.9,2,0.982147022
Villavicencio,3,0.9,3,0.988430947
Villavicencio,3,0.9,4,0.985292666
Villavicencio,3,0.9,5,0.988728985
Villavicencio,3,1,2,1
Villavicencio,3,1,3,1
Villavicencio,3,1,4,1
Villavicencio,3,1,5,1
Villavicencio,3,1.1,2,1.014693722
Villavicencio,3,1.1,3,1.012834418
Villavicencio,3,1.1,4,1.014707334
Villavicencio,3,1.1,5,1.010427077
Villavicencio,3,1.2,2,1.024775778
Villavicencio,3,1.2,3,1.025939986
Villavicencio,3,1.2,4,1.028822426
Villavicencio,3,1.2,5,1.021098452
Villavicencio,3,1.3,2,1.013326124
Villavicencio,3,1.3,3,1.036243673
Villavicencio,3,1.3,4,1.041062087
Villavicencio,3,1.3,5,1.030648278
Villavicencio,4,0.7,2,0.907238416
Villavicencio,4,0.7,3,0.937269056
Villavicencio,4,0.7,4,0.949085056
Villavicencio,4,0.7,5,0.950050624
Villavicencio,4,0.8,2,0.939753699
Villavicencio,4,0.8,3,0.959353785
Villavicencio,4,0.8,4,0.966197899
Villavicencio,4,0.8,5,0.966503544
Villavicencio,4,0.9,2,0.970940019
Villavicencio,4,0.9,3,0.980407321
Villavicencio,4,0.9,4,0.983395459
Villavicencio,4,0.9,5,0.983462707
Villavicencio,4,1,2,1
Villavicencio,4,1,3,1
Villavicencio,4,1,4,1
Villavicencio,4,1,5,1
Villavicencio,4,1.1,2,1.024364313
Villavicencio,4,1.1,3,1.017616224
Villavicencio,4,1.1,4,1.016180956
Villavicencio,4,1.1,5,1.016368545
Villavicencio,4,1.2,2,1.041729423
Villavicencio,4,1.2,3,1.036349575
Villavicencio,4,1.2,4,1.032023043
Villavicencio,4,1.2,5,1.032905839
Villavicencio,4,1.3,2,1.052804111
Villavicencio,4,1.3,3,1.050786285
Villavicencio,4,1.3,4,1.047695696
Villavicencio,4,1.3,5,1.047840027
Acacias,1,0.7,2,0.941576693
Acacias,1,0.7,3,0.952004266
Acacias,1,0.7,4,0.955423744
Acacias,1,0.7,5,0.955627516
Acacias,1,0.8,2,0.961770227
Acacias,1,0.8,3,0.971558084
Acacias,1,0.8,4,0.968904467
Acacias,1,0.8,5,0.970505864
Acacias,1,0.9,2,0.981735586
Acacias,1,0.9,3,0.987201138
Acacias,1,0.9,4,0.984901591
Acacias,1,0.9,5,0.985471731
Acacias,1,1,2,1
Acacias,1,1,3,1
Acacias,1,1,4,1
Acacias,1,1,5,1
Acacias,1,1.1,2,1.015868571
Acacias,1,1.1,3,1.012798862
Acacias,1,1.1,4,1.015637638
Acacias,1,1.1,5,1.013653072
Acacias,1,1.2,2,1.027277347
Acacias,1,1.2,3,1.024886677
Acacias,1,1.2,4,1.031814505
Acacias,1,1.2,5,1.026430947
Acacias,1,1.3,2,1.030689609
Acacias,1,1.3,3,1.035552395
Acacias,1,1.3,4,1.047452143
Acacias,1,1.3,5,1.039296342
Acacias,2,0.7,2,0.947738815
Acacias,2,0.7,3,0.963017766
Acacias,2,0.7,4,0.944654387
Acacias,2,0.7,5,0.95704903
Acacias,2,0.8,2,0.967569528
Acacias,2,0.8,3,0.974704313
Acacias,2,0.8,4,0.962115458
Acacias,2,0.8,5,0.971141999
