"","Fecha","Irradiacion","Temperatura_minima","Temperatura_maxima","Presion_de_vapor","Precipitacion","Dias_con_lluvia"
"1","2000-01",18.74664,21.2096774193548,30.7387096774194,33.3865973541717,64,12
"2","2000-02",17.0694,21.3241379310345,31.3103448275862,34.2777994022756,163.9,10
"3","2000-03",15.75324,21.8806451612903,31.2258064516129,35.1206309104676,104.2,14
"4","2000-04",15.86376,21.46,30.1033333333333,32.6013521771793,379.9,25
"5","2000-05",15.91956,20.8290322580645,29.6193548387097,31.9139362327902,923.6,29
"6","2000-06",15.27336,20.7133333333333,29,31.2177606586724,351.8,27
"7","2000-07",15.68916,20.2967741935484,29.1322580645161,30.6056076184513,333.6,24
"8","2000-08",16.50672,20.4387096774194,29.8903225806452,32.1007511610851,354.6,24
"9","2000-09",18.95292,20.54,30.3533333333333,32.3659541483706,200.6,22
"10","2000-10",18.37224,21.0032258064516,31.0354838709677,33.4675197099174,288.3,27
"11","2000-11",17.34228,21.0566666666667,30.7966666666667,32.5820273744134,371,24
"12","2000-12",17.73,20.5483870967742,30.3322580645161,32.2592160896377,145.8,22
"13","2001-01",18.74664,19.8032258064516,32.4387096774194,34.9883056278343,12.8,4
"14","2001-02",17.0694,21.325,32.2964285714286,35.8258355465234,38.5,7
"15","2001-03",15.75324,21.9709677419355,31.8838709677419,35.3239627018947,158.3,18
"16","2001-04",15.86376,21.1033333333333,30.8233333333333,33.605512113957,330.4,18
"17","2001-05",15.91956,21.1483870967742,30.2032258064516,32.6034052164222,765.1,25
"18","2001-06",15.27336,20.34,28.3133333333333,29.8258467561215,567.8,28
"19","2001-07",15.68916,20.5451612903226,29.3709677419355,31.3328836123651,515.6,26
"20","2001-08",16.50672,NA,NA,NA,368,22
"21","2001-09",18.95292,NA,NA,NA,393.3,22
"22","2001-10",18.37224,21.0870967741935,31.2483870967742,33.6717060179584,572.8,26
"23","2001-11",17.34228,21.3033333333333,31.7966666666667,34.6735557163046,372.9,21
"24","2001-12",17.73,21.7935483870968,30.641935483871,33.0814324585658,417.4,25
"25","2002-01",18.74664,20.2258064516129,31.7258064516129,33.5702569546563,9.8,7
"26","2002-02",17.0694,22.2321428571429,33.8428571428571,38.1989610122316,7.9,4
"27","2002-03",15.75324,22.2709677419355,32.5741935483871,35.7703550020408,365.4,14
"28","2002-04",15.86376,21.49,30.2833333333333,32.3196619346627,611.1,23
"29","2002-05",15.91956,21.3129032258065,29.6161290322581,31.1598355272957,897,29
"30","2002-06",15.27336,20.53,28.2666666666667,30.0132243567789,635.2,28
"31","2002-07",15.68916,20.6322580645161,29.3516129032258,30.3520721093051,614.3,27
"32","2002-08",16.50672,20.7129032258064,29.7612903225806,31.4103056019486,341.7,26
"33","2002-09",18.95292,20.7566666666667,31.08,32.5018212632164,477.5,22
"34","2002-10",18.37224,20.958064516129,30.6193548387097,33.1298418364128,606.3,23
"35","2002-11",17.34228,20.91,30.9233333333333,33.0503592381029,201.2,22
"36","2002-12",17.73,21.141935483871,31.5225806451613,34.086954985647,222.6,12
"37","2003-01",18.74664,21.9451612903226,33.2225806451613,38.1976270688556,0.4,1
"38","2003-02",17.0694,23.2464285714286,33.1857142857143,39.1119516512087,21.5,6
"39","2003-03",15.75324,22.3967741935484,32.4064516129032,36.5087375493632,146.5,19
"40","2003-04",15.86376,21.62,30.2,33.2352169793752,621.6,25
"41","2003-05",15.91956,21.1032258064516,29.7129032258065,31.531906759104,400.8,28
"42","2003-06",15.27336,20.5666666666667,29.3533333333333,31.227070805978,694,27
"43","2003-07",15.68916,20.641935483871,28.5645161290323,30.3786720157611,307.2,27
"44","2003-08",16.50672,20.7741935483871,29.8225806451613,31.7955209275395,417.3,24
"45","2003-09",18.95292,20.6066666666667,30.2533333333333,32.1888330581438,632.8,20
"46","2003-10",18.37224,21.4290322580645,30.7032258064516,33.4876190745751,399.2,25
"47","2003-11",17.34228,21.1033333333333,30.9133333333333,32.9993213112242,547.6,22
"48","2003-12",17.73,21.458064516129,31.0741935483871,33.4610329179492,214.4,17
"49","2004-01",18.74664,21.7096774193548,31.8161290322581,35.5649082961579,46.6,3
"50","2004-02",17.0694,22.0172413793103,33.4103448275862,38.0297253595375,324.3,10
"51","2004-03",15.75324,22.2129032258065,31.5677419354839,35.7814137553703,161.1,17
"52","2004-04",15.86376,21.6533333333333,30.8666666666667,33.9241570896698,424.8,23
"53","2004-05",15.91956,21.3774193548387,29.4387096774194,32.0246622770312,736.6,30
