"","Fecha","Municipio","precipitacion","dias_lluvia"
"1","2000-01","Acacías",35.6,5
"2","2000-01","Villavicencio",64,12
"3","2000-02","Acacías",229.3,9
"4","2000-02","Villavicencio",163.9,10
"5","2000-03","Acacías",186,9
"6","2000-03","Villavicencio",104.2,14
"7","2000-04","Acacías",497.3,22
"8","2000-04","Villavicencio",379.9,25
"9","2000-05","Acacías",841.2,24
"10","2000-05","Villavicencio",923.6,29
"11","2000-06","Acacías",375.8,21
"12","2000-06","Villavicencio",351.8,27
"13","2000-07","Acacías",309.5,19
"14","2000-07","Villavicencio",333.6,24
"15","2000-08","Acacías",193.5,13
"16","2000-08","Villavicencio",354.6,24
"17","2000-09","Acacías",282.8,16
"18","2000-09","Villavicencio",200.6,22
"19","2000-10","Acacías",529,18
"20","2000-10","Villavicencio",288.3,27
"21","2000-11","Acacías",487,15
"22","2000-11","Villavicencio",371,24
"23","2000-12","Acacías",265.3,8
"24","2000-12","Villavicencio",145.8,22
"25","2001-01","Acacías",59,2
"26","2001-01","Villavicencio",12.8,4
"27","2001-02","Acacías",29,3
"28","2001-02","Villavicencio",38.5,7
"29","2001-03","Acacías",250,13
"30","2001-03","Cubarral",410,12
"31","2001-03","Villavicencio",158.3,18
"32","2001-04","Acacías",453,16
"33","2001-04","Cubarral",513,22
"34","2001-04","Villavicencio",330.4,18
"35","2001-05","Acacías",847,24
"36","2001-05","Cubarral",868,23
"37","2001-05","Villavicencio",765.1,25
"38","2001-06","Acacías",601,23
"39","2001-06","Cubarral",603,28
"40","2001-06","Villavicencio",567.8,28
"41","2001-07","Acacías",380,19
"42","2001-07","Cubarral",658,27
"43","2001-07","Villavicencio",515.6,26
"44","2001-08","Acacías",286,17
"45","2001-08","Cubarral",382,22
"46","2001-08","Villavicencio",368,22
"47","2001-09","Acacías",612,15
"48","2001-09","Cubarral",354,12
"49","2001-09","Villavicencio",393.3,22
"50","2001-10","Acacías",494,17
"51","2001-10","Cubarral",413,19
"52","2001-10","Villavicencio",572.8,26
"53","2001-11","Acacías",333,16
"54","2001-11","Cubarral",662,24
"55","2001-11","Villavicencio",372.9,21
"56","2001-12","Acacías",381,18
"57","2001-12","Cubarral",640,22
"58","2001-12","Villavicencio",417.4,25
"59","2002-01","Acacías",6,2
"60","2002-01","Cubarral",64,7
"61","2002-01","Villavicencio",9.8,7
"62","2002-02","Acacías",54,2
"63","2002-02","Cubarral",90,4
"64","2002-02","Villavicencio",7.9,4
"65","2002-03","Acacías",533,14
"66","2002-03","Cubarral",715,20
"67","2002-03","Villavicencio",365.4,14
"68","2002-04","Acacías",613,21
"69","2002-04","Cubarral",789,28
"70","2002-04","Villavicencio",611.1,23
"71","2002-05","Acacías",891,25
"72","2002-05","Cubarral",885,27
"73","2002-05","Villavicencio",897,29
"74","2002-06","Acacías",609,18
"75","2002-06","Cubarral",678,23
"76","2002-06","Villavicencio",635.2,28
"77","2002-07","Acacías",517,19
"78","2002-07","Cubarral",680,26
"79","2002-07","Villavicencio",614.3,27
"80","2002-08","Acacías",538,17
"81","2002-08","Cubarral",349,19
"82","2002-08","Villavicencio",341.7,26
"83","2002-09","Acacías",375,15
"84","2002-09","Cubarral",169,6
"85","2002-09","Villavicencio",477.5,22
"86","2002-10","Acacías",715,17
"87","2002-10","Cubarral",475,24
"88","2002-10","Villavicencio",606.3,23
"89","2002-11","Acacías",265,17
"90","2002-11","Cubarral",555,24
"91","2002-11","Villavicencio",201.2,22
"92","2002-12","Acacías",253,11
"93","2002-12","Cubarral",352,22
"94","2002-12","Villavicencio",222.6,12
"95","2003-01","Acacías",0,0
"96","2003-01","Cubarral",31,11
"97","2003-01","Villavicencio",0.4,1
"98","2003-02","Acacías",41,3
